DATE_OF_DEATH,Confirmed,Probable,INCOMPLETE,baseline,Total
05/16/2020,83,18,null,0,101
05/17/2020,77,10,null,0,87
05/18/2020,57,9,null,0,66
05/19/2020,54,9,null,0,63
05/20/2020,81,6,null,0,87
05/21/2020,45,7,null,0,52
05/22/2020,64,12,null,0,76
05/23/2020,60,3,null,0,63
05/24/2020,49,4,null,0,53
05/25/2020,49,5,null,0,54
05/26/2020,37,5,null,0,42
05/27/2020,49,3,null,0,52
05/28/2020,38,4,null,0,42
05/29/2020,43,8,null,0,51
05/30/2020,54,4,null,0,58
05/31/2020,39,4,null,0,43
06/01/2020,34,5,null,0,39
06/02/2020,38,6,null,0,44
06/03/2020,42,4,null,0,46
06/04/2020,33,5,null,0,38
06/05/2020,28,3,null,0,31
06/06/2020,35,3,null,0,38
06/07/2020,24,5,null,0,29
06/08/2020,41,6,null,0,47
06/09/2020,34,3,null,0,37
06/10/2020,31,7,null,0,38
06/11/2020,21,5,null,0,26
06/12/2020,23,3,null,0,26
06/13/2020,14,2,null,0,16
06/14/2020,24,0,null,0,24
06/15/2020,20,0,null,0,20
06/16/2020,19,3,null,0,22
06/17/2020,20,1,null,0,21
06/18/2020,17,1,null,0,18
06/19/2020,17,0,null,0,17
06/20/2020,19,1,null,0,20
06/21/2020,28,0,null,0,28
06/22/2020,25,0,null,0,25
06/23/2020,27,1,null,0,28
06/24/2020,25,1,null,0,26
06/25/2020,19,1,null,0,20
06/26/2020,20,1,null,0,21
06/27/2020,21,4,null,0,25
06/28/2020,19,1,null,0,20
06/29/2020,25,3,null,0,28
06/30/2020,24,0,null,0,24
07/01/2020,12,1,null,0,13
07/02/2020,25,2,null,0,27
07/03/2020,24,1,null,0,25
07/04/2020,14,1,null,0,15
07/05/2020,17,0,null,0,17
07/06/2020,17,4,null,0,21
07/07/2020,13,1,null,0,14
07/08/2020,20,3,null,0,23
07/09/2020,10,0,null,0,10
07/10/2020,10,0,null,0,10
07/11/2020,13,1,null,0,14
07/12/2020,11,1,null,0,12
07/13/2020,16,2,null,0,18
07/14/2020,10,0,null,0,10
07/15/2020,14,2,null,0,16
07/16/2020,10,0,null,0,10
07/17/2020,14,1,null,0,15
07/18/2020,11,2,null,0,13
07/19/2020,7,2,null,0,9
07/20/2020,11,2,null,0,13
07/21/2020,11,0,null,0,11
07/22/2020,8,2,null,0,10
07/23/2020,9,0,null,0,9
07/24/2020,6,0,null,0,6
07/25/2020,11,1,null,0,12
07/26/2020,8,1,null,0,9
07/27/2020,5,0,null,0,5
07/28/2020,12,1,null,0,13
07/29/2020,5,0,null,0,5
07/30/2020,4,1,null,0,5
07/31/2020,5,1,null,0,6
08/01/2020,8,1,null,0,9
08/02/2020,2,0,null,0,2
08/03/2020,3,1,null,0,4
08/04/2020,6,2,null,0,8
08/05/2020,8,0,null,0,8
08/06/2020,4,2,null,0,6
08/07/2020,5,0,null,0,5
08/08/2020,6,1,null,0,7
08/09/2020,3,0,null,0,3
08/10/2020,6,0,null,0,6
08/11/2020,7,1,null,0,8
08/12/2020,2,2,null,0,4
08/13/2020,3,3,null,0,6
08/14/2020,3,2,null,0,5
08/15/2020,7,1,null,0,8
08/16/2020,6,0,null,0,6
08/17/2020,4,1,null,0,5
08/18/2020,2,0,1000,0,2
08/19/2020,3,0,1000,0,3
08/20/2020,2,2,1000,0,4
08/21/2020,2,2,1000,0,4
08/22/2020,3,0,1000,0,3
08/23/2020,2,2,1000,0,4
08/24/2020,0,0,1000,0,0
